NDTV,"Already contacted (email, LinkedIn or form)"
Nebius,"Already contacted (email, LinkedIn or form)"
NESCO / Bombay Exhibition Centre,"Already contacted (email, LinkedIn or form)"
Nespresso,"Already contacted (email, LinkedIn or form)"
Nestle India,"Already contacted (email, LinkedIn or form)"
Netcore Cloud,"Already contacted (email, LinkedIn or form)"
NetEase Games,"Already contacted (email, LinkedIn or form)"
NETGEAR,"Already contacted (email, LinkedIn or form)"
Netweb Technologies,"Already contacted (email, LinkedIn or form)"
Network18,"Already contacted (email, LinkedIn or form)"
NeuralGarage,"Already contacted (email, LinkedIn or form)"
New LinkedIn connections,"Already contacted (email, LinkedIn or form)"
NexGen Cloud,"Already contacted (email, LinkedIn or form)"
NexGen Cloud (Hyperstack),"Already contacted (email, LinkedIn or form)"
NFDC (National Film Development Corporation) / WAVES Film Bazaar,"Already contacted (email, LinkedIn or form)"
Nikon (RED Digital Cinema),"Already contacted (email, LinkedIn or form)"
Nikon India,"Already contacted (email, LinkedIn or form)"
Nikon India / RED Digital Cinema,"Already contacted (email, LinkedIn or form)"
Nintendo,"Already contacted (email, LinkedIn or form)"
noblechairs,"Already contacted (email, LinkedIn or form)"
NODWIN Gaming,"Already contacted (email, LinkedIn or form)"
Noise,"Already contacted (email, LinkedIn or form)"
Noise (Nexxbase),"Already contacted (email, LinkedIn or form)"
Nolibox,"Already contacted (email, LinkedIn or form)"
NordVPN (Nord Security),"Already contacted (email, LinkedIn or form)"
Nothing India,"Already contacted (email, LinkedIn or form)"
Notion,"Already contacted (email, LinkedIn or form)"
Novotel Mumbai Juhu Beach,"Already contacted (email, LinkedIn or form)"
NVIDIA,"Already contacted (email, LinkedIn or form)"
"NVIDIA (cold, employees)","Already contacted (email, LinkedIn or form)"
NY VFXWAALA,"Already contacted (email, LinkedIn or form)"
Nykaa,"Already contacted (email, LinkedIn or form)"
NZXT,"Already contacted (email, LinkedIn or form)"
Oakley,"Already contacted (email, LinkedIn or form)"
Oberoi Realty,"Already contacted (email, LinkedIn or form)"
OBSBOT,"Already contacted (email, LinkedIn or form)"
Odyssey ML,"Already contacted (email, LinkedIn or form)"
OKX,"Already contacted (email, LinkedIn or form)"
Ola,"Already contacted (email, LinkedIn or form)"
Ola Electric,"Already contacted (email, LinkedIn or form)"
OnePlus,"Already contacted (email, LinkedIn or form)"
OpenAI,"Already contacted (email, LinkedIn or form)"
OpenFrame AI Lab,"Already contacted (email, LinkedIn or form)"
OPPO,"Already contacted (email, LinkedIn or form)"
OpusClip,"Already contacted (email, LinkedIn or form)"
OpusClip (Opus.pro),"Already contacted (email, LinkedIn or form)"
Oracle,"Already contacted (email, LinkedIn or form)"
Oracle Cloud Infrastructure,"Already contacted (email, LinkedIn or form)"
Oura,"Already contacted (email, LinkedIn or form)"
OVHcloud,"Already contacted (email, LinkedIn or form)"
Palo Alto Networks,"Already contacted (email, LinkedIn or form)"
Panasonic,"Already contacted (email, LinkedIn or form)"
Panasonic (Lumix) India,"Already contacted (email, LinkedIn or form)"
Panavision,"Already contacted (email, LinkedIn or form)"
Panorama Studios,"Already contacted (email, LinkedIn or form)"
Paper Boat (Hector Beverages),"Already contacted (email, LinkedIn or form)"
Papercup,"Already contacted (email, LinkedIn or form)"
Paramount,"Already contacted (email, LinkedIn or form)"
Parle Products,"Already contacted (email, LinkedIn or form)"
Pathé Films,"Already contacted (email, LinkedIn or form)"
Patreon,"Already contacted (email, LinkedIn or form)"
Patriot Memory,"Already contacted (email, LinkedIn or form)"
Paytm,"Already contacted (email, LinkedIn or form)"
Paytm (One97),"Already contacted (email, LinkedIn or form)"
Pen Studios,"Already contacted (email, LinkedIn or form)"
PepsiCo India,"Already contacted (email, LinkedIn or form)"
Percept Limited,"Already contacted (email, LinkedIn or form)"
Pernod Ricard India,"Already contacted (email, LinkedIn or form)"
Perplexity AI,"Already contacted (email, LinkedIn or form)"
Phoenix Marketcity Mumbai,"Already contacted (email, LinkedIn or form)"
PhonePe,"Already contacted (email, LinkedIn or form)"
Photoroom,"Already contacted (email, LinkedIn or form)"
Pictory,"Already contacted (email, LinkedIn or form)"
Pidilite Industries,"Already contacted (email, LinkedIn or form)"
Pika,"Already contacted (email, LinkedIn or form)"
Pika Labs,"Already contacted (email, LinkedIn or form)"
Pine Labs,"Already contacted (email, LinkedIn or form)"
Pinterest,"Already contacted (email, LinkedIn or form)"
Piramal Group,"Already contacted (email, LinkedIn or form)"
PixVerse,"Already contacted (email, LinkedIn or form)"
PlayAI (play.ht),"Already contacted (email, LinkedIn or form)"
PNY,"Already contacted (email, LinkedIn or form)"
PNY Technologies,"Already contacted (email, LinkedIn or form)"
Pocket Aces,"Already contacted (email, LinkedIn or form)"
Polestar,"Already contacted (email, LinkedIn or form)"
Postman,"Already contacted (email, LinkedIn or form)"
Powtoon,"Already contacted (email, LinkedIn or form)"
PPDS (Philips professional displays),"Already contacted (email, LinkedIn or form)"
Prana Studios,"Already contacted (email, LinkedIn or form)"
Prestige Group,"Already contacted (email, LinkedIn or form)"
Prime Focus Technologies,"Already contacted (email, LinkedIn or form)"
Progressive Insurance,"Already contacted (email, LinkedIn or form)"
Puget Systems,"Already contacted (email, LinkedIn or form)"
PVR INOX Ltd,"Already contacted (email, LinkedIn or form)"
PVR Limited,"Already contacted (email, LinkedIn or form)"
PwC,"Already contacted (email, LinkedIn or form)"
Qatar Airways,"Already contacted (email, LinkedIn or form)"
QNAP,"Already contacted (email, LinkedIn or form)"
QNAP Systems,"Already contacted (email, LinkedIn or form)"
Qualcomm,"Already contacted (email, LinkedIn or form)"
Quantiphi,"Already contacted (email, LinkedIn or form)"
Quantmpic (Teradek India dealer),"Already contacted (email, LinkedIn or form)"
Qube Cinema Technologies,"Already contacted (email, LinkedIn or form)"
Radico Khaitan,"Already contacted (email, LinkedIn or form)"
Radisson Blu,"Already contacted (email, LinkedIn or form)"
Ramoji Film City,"Already contacted (email, LinkedIn or form)"
Raymond,"Already contacted (email, LinkedIn or form)"
Raymond Lifestyle,"Already contacted (email, LinkedIn or form)"
Razer,"Already contacted (email, LinkedIn or form)"
Reallusion,"Already contacted (email, LinkedIn or form)"
realme,"Already contacted (email, LinkedIn or form)"
Recraft,"Already contacted (email, LinkedIn or form)"
Recraft AI,"Already contacted (email, LinkedIn or form)"
Red Bull,"Already contacted (email, LinkedIn or form)"
Red Chillies Entertainment (Redchillies.vfx),"Already contacted (email, LinkedIn or form)"
Reliance Jio,"Already contacted (email, LinkedIn or form)"
Renderforest,"Already contacted (email, LinkedIn or form)"
Renesas Electronics,"Already contacted (email, LinkedIn or form)"
Rephrase.ai,"Already contacted (email, LinkedIn or form)"
Replicate,"Already contacted (email, LinkedIn or form)"
Reply S.p.A.,"Already contacted (email, LinkedIn or form)"
Republic Media Network,"Already contacted (email, LinkedIn or form)"
Resemble AI,"Already contacted (email, LinkedIn or form)"
Respeecher,"Already contacted (email, LinkedIn or form)"
Revolut,"Already contacted (email, LinkedIn or form)"
Roblox,"Already contacted (email, LinkedIn or form)"
RODE Microphones,"Already contacted (email, LinkedIn or form)"
Rogers Communications,"Already contacted (email, LinkedIn or form)"
Rokoko,"Already contacted (email, LinkedIn or form)"
Roku,"Already contacted (email, LinkedIn or form)"
Rolex,"Already contacted (email, LinkedIn or form)"
Rooter,"Already contacted (email, LinkedIn or form)"
Roy Kapur Films,"Already contacted (email, LinkedIn or form)"
Royal Enfield,"Already contacted (email, LinkedIn or form)"
RP-Sanjiv Goenka Group,"Already contacted (email, LinkedIn or form)"
RP-Sanjiv Goenka Group / RPSG Ventures,"Already contacted (email, LinkedIn or form)"
RPSG Ventures,"Already contacted (email, LinkedIn or form)"
Rumble,"Already contacted (email, LinkedIn or form)"
RunPod,"Already contacted (email, LinkedIn or form)"
Runware,"Already contacted (email, LinkedIn or form)"
Runway,"Already contacted (email, LinkedIn or form)"
"Runway AI, Inc.","Already contacted (email, LinkedIn or form)"
RX India,"Already contacted (email, LinkedIn or form)"
RX India (Reed Exhibitions),"Already contacted (email, LinkedIn or form)"
S8UL Esports,"Already contacted (email, LinkedIn or form)"
Salesforce,"Already contacted (email, LinkedIn or form)"
Salesforce India,"Already contacted (email, LinkedIn or form)"
SambaNova Systems,"Already contacted (email, LinkedIn or form)"
Samsung,"Already contacted (email, LinkedIn or form)"
Samsung India,"Already contacted (email, LinkedIn or form)"
Samsung Semiconductor,"Already contacted (email, LinkedIn or form)"
SanDisk,"Already contacted (email, LinkedIn or form)"
SanDisk / Western Digital,"Already contacted (email, LinkedIn or form)"
Santander,"Already contacted (email, LinkedIn or form)"
Saregama (Yoodlee Films),"Already contacted (email, LinkedIn or form)"
Sarvam AI,"Already contacted (email, LinkedIn or form)"
Scale AI,"Already contacted (email, LinkedIn or form)"
Scenario AI,"Already contacted (email, LinkedIn or form)"
Seagate,"Already contacted (email, LinkedIn or form)"
Second mailbox access,"Already contacted (email, LinkedIn or form)"
Secretlab,"Already contacted (email, LinkedIn or form)"
Sennheiser,"Already contacted (email, LinkedIn or form)"
Sennheiser India,"Already contacted (email, LinkedIn or form)"
SenseTime,"Already contacted (email, LinkedIn or form)"
SentinelOne,"Already contacted (email, LinkedIn or form)"
ServiceNow,"Already contacted (email, LinkedIn or form)"
ShareChat,"Already contacted (email, LinkedIn or form)"
ShareChat & Moj (Mohalla Tech),"Already contacted (email, LinkedIn or form)"
Shemaroo Entertainment,"Already contacted (email, LinkedIn or form)"
Shengshu Technology (Vidu),"Already contacted (email, LinkedIn or form)"
Showtime Events India,"Already contacted (email, LinkedIn or form)"
Shure,"Already contacted (email, LinkedIn or form)"
Shutterstock,"Already contacted (email, LinkedIn or form)"
SideFX,"Already contacted (email, LinkedIn or form)"
SideFX (Houdini),"Already contacted (email, LinkedIn or form)"
Sigma,"Already contacted (email, LinkedIn or form)"
Sikhya Entertainment,"Already contacted (email, LinkedIn or form)"
Simplified,"Already contacted (email, LinkedIn or form)"
SK Hynix,"Already contacted (email, LinkedIn or form)"
Skoda Auto Volkswagen India,"Already contacted (email, LinkedIn or form)"
Skullcandy,"Already contacted (email, LinkedIn or form)"
Sky,"Already contacted (email, LinkedIn or form)"
Skydance Media,"Already contacted (email, LinkedIn or form)"
SmallRig,"Already contacted (email, LinkedIn or form)"
Smilegate,"Already contacted (email, LinkedIn or form)"
Snowflake,"Already contacted (email, LinkedIn or form)"
SOBHA Limited,"Already contacted (email, LinkedIn or form)"
Sofitel Mumbai BKC,"Already contacted (email, LinkedIn or form)"
Sonos,"Already contacted (email, LinkedIn or form)"
Sony,"Already contacted (email, LinkedIn or form)"
Sony India,"Already contacted (email, LinkedIn or form)"
SonyLIV (Culver Max Entertainment),"Already contacted (email, LinkedIn or form)"
Speechify,"Already contacted (email, LinkedIn or form)"
SpiceJet,"Already contacted (email, LinkedIn or form)"
SRFTI (Satyajit Ray Film and Television Institute),"Already contacted (email, LinkedIn or form)"
Stability AI,"Already contacted (email, LinkedIn or form)"
Standard Chartered,"Already contacted (email, LinkedIn or form)"
Startup India (DPIIT),"Already contacted (email, LinkedIn or form)"
Startup Mahakumbh (FICCI / DPIIT),"Already contacted (email, LinkedIn or form)"
State Farm,"Already contacted (email, LinkedIn or form)"
SteelSeries,"Already contacted (email, LinkedIn or form)"
StepFun,"Already contacted (email, LinkedIn or form)"
STMicroelectronics,"Already contacted (email, LinkedIn or form)"
Sula Vineyards,"Already contacted (email, LinkedIn or form)"
Sun TV Network Limited,"Already contacted (email, LinkedIn or form)"
Sunburn / Spacebound Web Labs,"Already contacted (email, LinkedIn or form)"
Suno,"Already contacted (email, LinkedIn or form)"
Supa (behavioral health AI agents),"Already contacted (email, LinkedIn or form)"
Supa (ex-Gan.ai),"Already contacted (email, LinkedIn or form)"
Supermicro,"Already contacted (email, LinkedIn or form)"
Swarovski,"Already contacted (email, LinkedIn or form)"
Swiggy,"Already contacted (email, LinkedIn or form)"
Synology,"Already contacted (email, LinkedIn or form)"
Synopsys,"Already contacted (email, LinkedIn or form)"
Synthesia,"Already contacted (email, LinkedIn or form)"
T-Hub,"Already contacted (email, LinkedIn or form)"
T-Series,"Already contacted (email, LinkedIn or form)"
Taj Hotels (IHCL),"Already contacted (email, LinkedIn or form)"
Take-Two Interactive,"Already contacted (email, LinkedIn or form)"
Tamron India,"Already contacted (email, LinkedIn or form)"
Tata Communications,"Already contacted (email, LinkedIn or form)"
Tata Elxsi Visual Computing Labs,"Already contacted (email, LinkedIn or form)"
Tata Motors (Electric Vehicles),"Already contacted (email, LinkedIn or form)"
Tata Steel,"Already contacted (email, LinkedIn or form)"
Tata Steel Ltd,"Already contacted (email, LinkedIn or form)"
TCL,"Already contacted (email, LinkedIn or form)"
TCS,"Already contacted (email, LinkedIn or form)"
Tech Entrepreneurs Association of Mumbai (TEAM),"Already contacted (email, LinkedIn or form)"
Tech Mahindra,"Already contacted (email, LinkedIn or form)"
Technicolor Creative Studios (MPC),"Already contacted (email, LinkedIn or form)"
Tencent (Hunyuan),"Already contacted (email, LinkedIn or form)"
Tenstorrent,"Already contacted (email, LinkedIn or form)"
Tesla India,"Already contacted (email, LinkedIn or form)"
Tether,"Already contacted (email, LinkedIn or form)"
Texas Instruments,"Already contacted (email, LinkedIn or form)"
"The Leela Palaces, Hotels and Resorts","Already contacted (email, LinkedIn or form)"
The Oberoi Group,"Already contacted (email, LinkedIn or form)"
The Park Hotels,"Already contacted (email, LinkedIn or form)"
The St. Regis Mumbai,"Already contacted (email, LinkedIn or form)"
The Westin Mumbai Powai Lake,"Already contacted (email, LinkedIn or form)"
The whole messaging rewrite,"Already contacted (email, LinkedIn or form)"
Thomas Cook India,"Already contacted (email, LinkedIn or form)"
TiE Delhi-NCR,"Already contacted (email, LinkedIn or form)"
Tiger Baby Films,"Already contacted (email, LinkedIn or form)"
Tilta,"Already contacted (email, LinkedIn or form)"
Titan Company,"Already contacted (email, LinkedIn or form)"
Titan Company (Tanishq),"Already contacted (email, LinkedIn or form)"
Together AI,"Already contacted (email, LinkedIn or form)"
Toon Boom Animation,"Already contacted (email, LinkedIn or form)"
Topaz Labs,"Already contacted (email, LinkedIn or form)"
Torrent Group,"Already contacted (email, LinkedIn or form)"
TP-Link,"Already contacted (email, LinkedIn or form)"
Trend Micro,"Already contacted (email, LinkedIn or form)"
Tribeca Festival / Studios,"Already contacted (email, LinkedIn or form)"
Trident BKC (Oberoi Group),"Already contacted (email, LinkedIn or form)"
Trident Hotels (Trident BKC),"Already contacted (email, LinkedIn or form)"
Tripo AI,"Already contacted (email, LinkedIn or form)"
TSMC,"Already contacted (email, LinkedIn or form)"
Turkish Airlines,"Already contacted (email, LinkedIn or form)"
Turtle Beach,"Already contacted (email, LinkedIn or form)"
TV9 Network,"Already contacted (email, LinkedIn or form)"
TVS Motor Company,"Already contacted (email, LinkedIn or form)"
Twelve Labs,"Already contacted (email, LinkedIn or form)"
Twilio,"Already contacted (email, LinkedIn or form)"
Ubisoft,"Already contacted (email, LinkedIn or form)"
UBS,"Already contacted (email, LinkedIn or form)"
Udio,"Already contacted (email, LinkedIn or form)"
UiPath,"Already contacted (email, LinkedIn or form)"
Ulanzi,"Already contacted (email, LinkedIn or form)"
Ultraviolette Automotive,"Already contacted (email, LinkedIn or form)"
Uniphore,"Already contacted (email, LinkedIn or form)"
Unity Software,"Already contacted (email, LinkedIn or form)"
Unity Technologies,"Already contacted (email, LinkedIn or form)"
Universal Music Publishing Group,"Already contacted (email, LinkedIn or form)"
Urban Company,"Already contacted (email, LinkedIn or form)"
Vast.ai,"Already contacted (email, LinkedIn or form)"
Vedanta,"Already contacted (email, LinkedIn or form)"
VEED.IO,"Already contacted (email, LinkedIn or form)"
Venus Optics (Laowa),"Already contacted (email, LinkedIn or form)"
VerSe Innovation,"Already contacted (email, LinkedIn or form)"
Videndum,"Already contacted (email, LinkedIn or form)"
Vidnoz,"Already contacted (email, LinkedIn or form)"
Vidu (Shengshu Technology),"Already contacted (email, LinkedIn or form)"
Vidu AI (Shengshu Technology),"Already contacted (email, LinkedIn or form)"
ViewSonic,"Already contacted (email, LinkedIn or form)"
Viggle AI,"Already contacted (email, LinkedIn or form)"
Vimeo,"Already contacted (email, LinkedIn or form)"
VinFast,"Already contacted (email, LinkedIn or form)"
VIP Industries,"Already contacted (email, LinkedIn or form)"
Visa,"Already contacted (email, LinkedIn or form)"
vivo India,"Already contacted (email, LinkedIn or form)"
Vodafone Idea (Vi),"Already contacted (email, LinkedIn or form)"
Voltas,"Already contacted (email, LinkedIn or form)"
VOSS,"Already contacted (email, LinkedIn or form)"
VOSS Water USA,"Already contacted (email, LinkedIn or form)"
Vultr,"Already contacted (email, LinkedIn or form)"
Vyond,"Already contacted (email, LinkedIn or form)"
Wacom,"Already contacted (email, LinkedIn or form)"
Warner Bros. Discovery (HBO Max),"Already contacted (email, LinkedIn or form)"
WellSaid Labs,"Already contacted (email, LinkedIn or form)"
WeShort,"Already contacted (email, LinkedIn or form)"
Western Digital (SanDisk Professional),"Already contacted (email, LinkedIn or form)"
Western Digital / SanDisk,"Already contacted (email, LinkedIn or form)"
Weta FX,"Already contacted (email, LinkedIn or form)"
Whatfix,"Already contacted (email, LinkedIn or form)"
WHOOP,"Already contacted (email, LinkedIn or form)"
Wipro,"Already contacted (email, LinkedIn or form)"
Wise / Payoneer / Checkout.com / Nubank,"Already contacted (email, LinkedIn or form)"
Wizcraft International Entertainment,"Already contacted (email, LinkedIn or form)"
Wonder Dynamics (Autodesk / Wonder Studio),"Already contacted (email, LinkedIn or form)"
Wonder Dynamics (Autodesk),"Already contacted (email, LinkedIn or form)"
Wonder Studios,"Already contacted (email, LinkedIn or form)"
Wondershare (Filmora),"Already contacted (email, LinkedIn or form)"
World Labs,"Already contacted (email, LinkedIn or form)"
Writer,"Already contacted (email, LinkedIn or form)"
WRITER,"Already contacted (email, LinkedIn or form)"
xAI,"Already contacted (email, LinkedIn or form)"
Xiaomi,"Already contacted (email, LinkedIn or form)"
Xiaomi Technology,"Already contacted (email, LinkedIn or form)"
Yash Raj Films,"Already contacted (email, LinkedIn or form)"
Yashobhoomi IICC,"Already contacted (email, LinkedIn or form)"
Yatra Online,"Already contacted (email, LinkedIn or form)"
Yellow.ai,"Already contacted (email, LinkedIn or form)"
Yotta Data Services,"Already contacted (email, LinkedIn or form)"
Yotta Data Services (referral follow-up),"Already contacted (email, LinkedIn or form)"
YuVerse,"Already contacted (email, LinkedIn or form)"
"YuVerse (Ajay Bhanushali, warm follow-up)","Already contacted (email, LinkedIn or form)"
Zebronics,"Already contacted (email, LinkedIn or form)"
Zee Entertainment Enterprises,"Already contacted (email, LinkedIn or form)"
ZEISS India,"Already contacted (email, LinkedIn or form)"
Zepp Health / Amazfit,"Already contacted (email, LinkedIn or form)"
Zerodha,"Already contacted (email, LinkedIn or form)"
Zhipu AI (Z.ai),"Already contacted (email, LinkedIn or form)"
Zhiyun-Tech,"Already contacted (email, LinkedIn or form)"
Zoho,"Already contacted (email, LinkedIn or form)"
Zoho Corporation,"Already contacted (email, LinkedIn or form)"
Zomato (Eternal),"Already contacted (email, LinkedIn or form)"
Zoom,"Already contacted (email, LinkedIn or form)"
Zoom (video communications),"Already contacted (email, LinkedIn or form)"
"Zoom Corporation (audio recorders, Japan)","Already contacted (email, LinkedIn or form)"
Air France,DO NOT CONTACT (existing partner or excluded)
ARTE,DO NOT CONTACT (existing partner or excluded)
Banijay,DO NOT CONTACT (existing partner or excluded)
ByteDance,DO NOT CONTACT (existing partner or excluded)
Canal+,DO NOT CONTACT (existing partner or excluded)
CapCut,DO NOT CONTACT (existing partner or excluded)
CNC,DO NOT CONTACT (existing partner or excluded)
Eros,DO NOT CONTACT (existing partner or excluded)
Filmustage,DO NOT CONTACT (existing partner or excluded)
Fnac,DO NOT CONTACT (existing partner or excluded)
Hailuo,DO NOT CONTACT (existing partner or excluded)
JioStar,DO NOT CONTACT (existing partner or excluded)
JW Marriott,DO NOT CONTACT (existing partner or excluded)
Lotte,DO NOT CONTACT (existing partner or excluded)
MiniMax,DO NOT CONTACT (existing partner or excluded)
Minimax,DO NOT CONTACT (existing partner or excluded)
Morphic,DO NOT CONTACT (existing partner or excluded)
Pathé,DO NOT CONTACT (existing partner or excluded)
Seedance,DO NOT CONTACT (existing partner or excluded)
Shengshu,DO NOT CONTACT (existing partner or excluded)
Skolae,DO NOT CONTACT (existing partner or excluded)
Station F,DO NOT CONTACT (existing partner or excluded)
TF1,DO NOT CONTACT (existing partner or excluded)
TikTok,DO NOT CONTACT (existing partner or excluded)
Vidu,DO NOT CONTACT (existing partner or excluded)
Vidu (Shengshu),DO NOT CONTACT (existing partner or excluded)
Whistling Woods,DO NOT CONTACT (existing partner or excluded)
ZEE5,DO NOT CONTACT (existing partner or excluded)
70 EMG (Seventy Event Media Group),In v5 target list (being contacted now)
ABP Network,In v5 target list (being contacted now)
AIM Media House (Analytics India Magazine),In v5 target list (being contacted now)
Annapurna Studios,In v5 target list (being contacted now)
"Aptech Ltd (MAAC, Arena Animation)",In v5 target list (being contacted now)
Bell (BCE),In v5 target list (being contacted now)
Bolt.new (StackBlitz),In v5 target list (being contacted now)
BookMyShow (BookMyShow Live),In v5 target list (being contacted now)
Capgemini,In v5 target list (being contacted now)
CJ ENM,In v5 target list (being contacted now)
Criteo,In v5 target list (being contacted now)
Dassault Systèmes,In v5 target list (being contacted now)
DIRECTV,In v5 target list (being contacted now)
District by Zomato (Eternal),In v5 target list (being contacted now)
Dropbox,In v5 target list (being contacted now)
Duolingo,In v5 target list (being contacted now)
Havas India,In v5 target list (being contacted now)
Hisense,In v5 target list (being contacted now)
Hombale Films (Astra Studios),In v5 target list (being contacted now)
HT Media Group,In v5 target list (being contacted now)
HUMAIN,In v5 target list (being contacted now)
India Art Fair (MCH Group),In v5 target list (being contacted now)
Indian Express Group (Screen / Chetak Screen Awards),In v5 target list (being contacted now)
InMobi / Glance,In v5 target list (being contacted now)
Kia,In v5 target list (being contacted now)
Lexar,In v5 target list (being contacted now)
Lokmat Media Group,In v5 target list (being contacted now)
MM Activ Sci-Tech Communications (Bengaluru Tech Summit),In v5 target list (being contacted now)
Moloco,In v5 target list (being contacted now)
Motorola (Lenovo),In v5 target list (being contacted now)
NASSCOM,In v5 target list (being contacted now)
Netflix,In v5 target list (being contacted now)
"NODWIN Gaming (Comic Con India, NH7 Weekender)",In v5 target list (being contacted now)
Noida International Film City (Bayview Projects: Boney Kapoor + Bhutani Infra),In v5 target list (being contacted now)
Orange,In v5 target list (being contacted now)
PhysicsWallah,In v5 target list (being contacted now)
Picsart,In v5 target list (being contacted now)
Pinkvilla,In v5 target list (being contacted now)
Pocket FM,In v5 target list (being contacted now)
POP.STORE,In v5 target list (being contacted now)
Publicis Groupe India,In v5 target list (being contacted now)
PubMatic,In v5 target list (being contacted now)
Raaj Kamal Films International (Kamal Haasan),In v5 target list (being contacted now)
Reddit,In v5 target list (being contacted now)
ReelShort (Crazy Maple Studio),In v5 target list (being contacted now)
Renault Group,In v5 target list (being contacted now)
Rivian,In v5 target list (being contacted now)
RSVP Movies / upGrad (Ronnie Screwvala),In v5 target list (being contacted now)
Serendipity Arts Foundation,In v5 target list (being contacted now)
SIIMA (Vibri Media Group),In v5 target list (being contacted now)
Snap Inc.,In v5 target list (being contacted now)
Spirit Media (Rana Daggubati),In v5 target list (being contacted now)
Spotify,In v5 target list (being contacted now)
Spotter,In v5 target list (being contacted now)
STIRworld (ADFF:STIR),In v5 target list (being contacted now)
Supercell,In v5 target list (being contacted now)
Teads,In v5 target list (being contacted now)
Teamwork Arts (Jaipur Literature Festival),In v5 target list (being contacted now)
TECNO / Transsion,In v5 target list (being contacted now)
The Trade Desk,In v5 target list (being contacted now)
Turkcell,In v5 target list (being contacted now)
TVAGA (IndiaJoy),In v5 target list (being contacted now)
Uber,In v5 target list (being contacted now)
Wasabi Technologies,In v5 target list (being contacted now)
YourStory Media (TechSparks),In v5 target list (being contacted now)
